Movie,Review,Sentiment
Pulp Fiction,The special effects were incredible.,0
The Dark Knight,The film lacked originality.,1
Forrest Gump,The screenplay was poorly written.,1
Fight Club,Predictable plot.,0
The Dark Knight,Disappointing ending.,1
Pulp Fiction,Disappointing ending.,1
Inception,Heartwarming and touching.,1
The Matrix,The acting was mediocre.,1
The Godfather,Amazing cinematography!,1
Fight Club,The acting was mediocre.,1
The Matrix,Not worth watching.,1
Forrest Gump,The film lacked originality.,0
The Lord of the Rings: The Return of the King,I found the movie boring and uninteresting.,0
The Dark Knight,The screenplay was poorly written.,1
The Godfather,Terrible direction ruined the movie.,0
The Lord of the Rings: The Return of the King,The film lacked originality.,0
The Matrix,The movie was absolutely fantastic!,0
Inception,Highly recommend this film!,0
The Dark Knight,Heartwarming and touching.,0
Forrest Gump,The acting was mediocre.,1
The Dark Knight,Predictable plot.,0
The Godfather,Couldn't stop laughing throughout the movie.,1
The Lord of the Rings: The Return of the King,Amazing cinematography!,1
The Dark Knight,Amazing cinematography!,0
The Godfather,The acting was mediocre.,0
Pulp Fiction,One of the best movies I've ever seen.,1
Inception,The special effects were incredible.,1
The Shawshank Redemption,Not worth watching.,1
Forrest Gump,The storyline was captivating.,1
Fight Club,One of the best movies I've ever seen.,0
Pulp Fiction,Amazing cinematography!,1
The Godfather,I didn't like the plot twist.,0
Forrest Gump,The movie kept me on the edge of my seat.,1
The Lord of the Rings: The Return of the King,Great performances by the cast.,0
Forrest Gump,Great performances by the cast.,1
The Matrix,I didn't like the plot twist.,1
The Godfather,Terrible direction ruined the movie.,0
The Shawshank Redemption,The film lacked originality.,1
Inception,The storyline was captivating.,1
The Lord of the Rings: The Return of the King,The movie was absolutely fantastic!,0
Pulp Fiction,The screenplay was poorly written.,0
The Dark Knight,The movie was absolutely fantastic!,1
The Shawshank Redemption,The special effects were incredible.,0
Pulp Fiction,Not worth watching.,1
The Dark Knight,One of the best movies I've ever seen.,1
Pulp Fiction,The screenplay was poorly written.,1
Goodfellas,The film lacked originality.,1
The Godfather,Predictable plot.,1
The Dark Knight,Highly recommend this film!,0
Fight Club,Heartwarming and touching.,1
Goodfellas,I found the movie boring and uninteresting.,0
Fight Club,The acting was mediocre.,1
Forrest Gump,Predictable plot.,1
The Godfather,Outstanding soundtrack!,1
Inception,I didn't like the plot twist.,1
Forrest Gump,The movie was absolutely fantastic!,0
Goodfellas,I didn't like the plot twist.,1
Goodfellas,I found the movie boring and uninteresting.,0
The Dark Knight,The screenplay was poorly written.,0
Fight Club,The screenplay was poorly written.,1
