text,label
See you soon Noted,ham
Project discussion today Noted,ham
Earn cash fast Call now,spam
Get loan instantly Limited offer,spam
Exclusive deal just for you Click here,spam
Click now to win Limited offer,spam
Lunch at 1 pm Thanks,ham
Earn cash fast Call now,spam
Happy birthday! Noted,ham
You have been selected Limited offer,spam
Team meeting at 5 PM Noted,ham
Click now to win Click here,spam
Can we reschedule meeting? Thanks,ham
Call me when free Noted,ham
Urgent response needed Limited offer,spam
Please review the document Okay,ham
See you soon Noted,ham
Meeting is confirmed Noted,ham
You have been selected Call now,spam
You have been selected Don't miss out,spam
Can we reschedule meeting? Okay,ham
Win money now Click here,spam
Lowest price guaranteed Call now,spam
Lunch at 1 pm See you,ham
Get loan instantly Hurry up,spam
Meeting is confirmed Noted,ham
Get rich quick Click here,spam
Get loan instantly Click here,spam
Let's catch up later Noted,ham
You have been selected Click here,spam
Let's catch up later Regards,ham
Update on project status Noted,ham
Call now for free reward Hurry up,spam
Let's catch up later Okay,ham
Click now to win Limited offer,spam
Get loan instantly Limited offer,spam
Project discussion today See you,ham
Happy birthday! Noted,ham
Lowest price guaranteed Don't miss out,spam
Call now for free reward Don't miss out,spam
Happy birthday! Okay,ham
Call now for free reward Click here,spam
Lunch at 1 pm Okay,ham
Get loan instantly Limited offer,spam
Please review the document Okay,ham
Please find attached report Thanks,ham
Let's catch up later See you,ham
Let's meet tomorrow Okay,ham
Call me when free Regards,ham
Meeting is confirmed Thanks,ham
Win money now Don't miss out,spam
Call me when free Noted,ham
Let's meet tomorrow Thanks,ham
Happy birthday! See you,ham
Call now for free reward Don't miss out,spam
Earn cash fast Hurry up,spam
Limited time offer Hurry up,spam
Free entry in contest Call now,spam
Act now to claim reward Don't miss out,spam
Lunch at 1 pm See you,ham
You have been selected Click here,spam
Exclusive deal just for you Limited offer,spam
Thanks for your help See you,ham
Claim your prize now Don't miss out,spam
Urgent response needed Hurry up,spam
Limited time offer Limited offer,spam
Act now to claim reward Call now,spam
Call me when free Okay,ham
Free entry in contest Don't miss out,spam
Limited time offer Call now,spam
Please review the document Thanks,ham
Thanks for your help Noted,ham
Urgent response needed Don't miss out,spam
Meeting is confirmed Noted,ham
Project discussion today Thanks,ham
Please review the document Noted,ham
Can we reschedule meeting? Regards,ham
Lowest price guaranteed Hurry up,spam
Please find attached report See you,ham
Lunch at 1 pm Regards,ham
Lowest price guaranteed Call now,spam
Happy birthday! Noted,ham
Happy birthday! Regards,ham
Please find attached report Noted,ham
Lunch at 1 pm Noted,ham
Call me when free Okay,ham
Call me when free Regards,ham
Limited time offer Click here,spam
Lowest price guaranteed Click here,spam
Win money now Don't miss out,spam
Team meeting at 5 PM Thanks,ham
Lowest price guaranteed Call now,spam
Get loan instantly Hurry up,spam
Earn cash fast Don't miss out,spam
Lowest price guaranteed Hurry up,spam
Thanks for your help Okay,ham
Update on project status Noted,ham
Call now for free reward Click here,spam
